attribute,image-id-high,image-id-low
modern,40900,100300
modern,20900,80300
modern,60900,40300
modern,900,81400
modern,61900,60300
modern,61800,61400
modern,1000,81700
modern,60000,61700
modern,61100,100400
modern,21500,21700
sporty,1000,100300
sporty,41000,81400
sporty,60900,80300
sporty,40900,40300
sporty,900,60300
sporty,61000,101400
sporty,20900,61400
sporty,61900,100200
sporty,1500,300
sporty,21500,100400
sleek,40900,100300
sleek,41000,80300
sleek,20900,81400
sleek,1000,40300
sleek,61800,61400
sleek,1900,101400
sleek,61900,21400
sleek,41900,81700
sleek,21900,100100
sleek,900,61700
elegant,1000,100300
elegant,40900,80300
elegant,20900,61400
elegant,61800,40300
elegant,61000,100200
elegant,61900,300
elegant,41800,100400
elegant,41500,21400
elegant,41900,60300
elegant,60000,81700
stylish,40900,100300
stylish,41000,81400
stylish,60900,80300
stylish,20900,40300
stylish,1000,101400
stylish,900,61400
stylish,61900,300
stylish,61500,81700
stylish,41600,80200
stylish,81000,21700
dynamic,40900,100300
dynamic,20900,80300
dynamic,1900,40300
dynamic,61800,60300
dynamic,1000,61400
dynamic,1800,101400
dynamic,60900,61700
dynamic,41900,300
dynamic,20800,21400
dynamic,61000,100400
aerodynamic,40900,100300
aerodynamic,41000,80300
aerodynamic,900,40300
aerodynamic,20900,60300
aerodynamic,41500,101400
aerodynamic,60900,61400
aerodynamic,61000,100100
aerodynamic,61500,300
aerodynamic,61900,61700
aerodynamic,1900,100200
sophisticated,61800,100300
sophisticated,20900,81400
sophisticated,61900,40300
sophisticated,40900,61400
sophisticated,41000,101400
sophisticated,60900,60300
sophisticated,60000,61700
sophisticated,41800,100400
sophisticated,41900,21400
sophisticated,60800,80200
luxurious,20900,80300
luxurious,41200,81400
luxurious,41000,60300
luxurious,60900,40300
luxurious,1000,100100
luxurious,1900,61700
luxurious,41800,300
luxurious,61900,80200
luxurious,41900,21400
luxurious,61000,100400
aggressive,20900,80300
aggressive,60900,81400
aggressive,61800,100100
aggressive,1000,60300
aggressive,61000,61400
aggressive,1900,300
aggressive,41200,101400
aggressive,21900,80200
aggressive,21500,21700
aggressive,61500,400
