participant-id,age,gender,ethnicity,residence-country,longest-residence-country,income,education,attribute,work-time-seconds,interest-in-automobiles,owns-car
0,54,male,asian,JP,JP,9,5,modern,,1,1
1,61,male,asian,JP,JP,5,2,modern,,3,1
2,68,male,asian,JP,JP,7,5,modern,,1,1
3,54,female,asian,JP,JP,5,3,modern,,5,1
4,68,male,asian,JP,JP,2,5,modern,,2,1
5,57,male,asian,JP,JP,5,3,modern,,3,1
6,71,male,asian,JP,JP,2,2,modern,,5,2
7,48,male,asian,JP,JP,7,5,modern,,4,1
8,83,male,asian,JP,JP,3,2,modern,,3,1
9,54,female,asian,JP,JP,1,4,modern,,2,1
10,57,male,asian,JP,JP,9,5,modern,,2,1
11,73,female,asian,JP,JP,1,5,modern,,3,1
12,62,male,asian,JP,JP,12,5,modern,,1,1
13,62,female,asian,JP,JP,1,2,modern,,3,2
14,55,female,asian,JP,JP,1,4,modern,,4,2
15,59,male,asian,JP,JP,5,3,modern,,2,2
16,65,male,asian,JP,JP,2,5,modern,,1,1
17,54,male,asian,JP,JP,6,5,modern,,1,1
18,70,female,asian,JP,JP,2,4,modern,,3,2
19,34,female,asian,JP,JP,4,5,modern,,3,1
20,35,female,asian,JP,JP,1,5,modern,,2,2
21,63,female,asian,JP,JP,1,3,modern,,3,1
22,66,female,asian,JP,JP,2,5,modern,,2,1
23,59,male,asian,JP,JP,3,5,modern,,4,2
24,68,male,asian,JP,JP,3,2,modern,,3,1
25,35,female,asian,JP,JP,7,5,modern,,5,2
26,37,female,asian,JP,JP,12,2,modern,,2,1
27,70,female,asian,JP,JP,7,4,modern,,1,1
28,62,female,asian,JP,JP,1,2,modern,,4,2
29,68,male,asian,JP,JP,1,3,modern,,3,1
30,70,female,white,JP,JP,1,2,modern,,3,1
31,70,male,asian,JP,JP,3,3,modern,,4,2
32,50,female,asian,JP,JP,2,2,modern,,5,2
33,77,female,asian,JP,JP,1,1,modern,,3,2
34,68,male,asian,JP,JP,2,2,modern,,2,1
35,62,female,asian,JP,JP,1,5,modern,,5,2
36,36,male,asian,JP,JP,3,3,modern,,2,1
37,58,female,asian,JP,JP,12,2,modern,,3,1
38,60,male,asian,JP,JP,5,6,modern,,4,2
39,59,female,asian,JP,JP,1,4,modern,,5,1
40,30,male,asian,JP,JP,5,3,modern,,3,2
41,58,female,asian,JP,JP,1,2,modern,,5,2
42,31,female,asian,JP,JP,12,2,modern,,5,2
43,39,female,asian,JP,JP,3,2,modern,,5,2
44,37,female,asian,JP,JP,1,3,modern,,5,2
45,74,male,asian,JP,JP,5,5,modern,,2,1
46,66,male,asian,JP,JP,6,5,modern,,1,1
47,69,male,asian,JP,JP,3,3,modern,,4,2
48,83,female,asian,JP,JP,1,5,modern,,2,2
49,91,male,asian,JP,JP,2,3,modern,,2,1
50,45,male,asian,JP,JP,2,5,modern,,5,2
51,54,male,asian,JP,JP,2,2,modern,,2,1
52,73,male,asian,JP,JP,1,5,modern,,3,1
53,35,female,asian,JP,JP,4,5,modern,,4,2
54,60,male,asian,JP,JP,12,2,modern,,1,1
55,64,female,asian,JP,JP,7,5,modern,,3,1
56,60,female,asian,JP,JP,4,2,modern,,5,2
57,72,male,asian,JP,JP,1,1,modern,,2,1
58,38,male,asian,JP,JP,8,5,modern,,2,1
59,62,female,asian,JP,JP,12,2,modern,,2,2
60,63,female,asian,JP,JP,2,5,modern,,1,1
61,68,male,asian,JP,JP,6,5,modern,,3,1
62,76,male,asian,JP,JP,1,4,modern,,3,2
63,55,male,asian,JP,JP,2,2,modern,,1,1
64,28,female,asian,JP,JP,2,4,modern,,4,2
65,42,female,asian,JP,JP,7,5,modern,,2,1
66,59,female,asian,JP,JP,1,5,modern,,5,2
67,67,male,asian,JP,JP,7,5,modern,,5,2
68,68,female,asian,JP,JP,1,2,modern,,3,1
69,79,male,asian,JP,JP,12,5,modern,,5,2
70,63,male,asian,JP,JP,1,2,modern,,2,1
71,42,female,asian,JP,JP,1,4,modern,,4,2
72,49,female,asian,JP,JP,1,5,modern,,5,1
73,53,male,asian,JP,JP,3,5,modern,,1,1
74,64,female,asian,JP,JP,1,2,modern,,4,1
75,57,male,asian,JP,JP,12,2,modern,,4,1
76,38,female,asian,JP,JP,1,5,modern,,3,1
77,70,male,asian,JP,JP,3,2,modern,,2,1
78,78,female,asian,JP,JP,1,2,modern,,1,1
79,36,female,asian,JP,JP,1,2,modern,,2,1
80,42,female,asian,JP,JP,12,9,modern,,5,2
81,45,female,asian,JP,JP,1,5,modern,,1,1
82,41,female,asian,JP,JP,12,3,modern,,5,2
83,26,female,asian,JP,JP,4,5,modern,,2,1
84,68,female,asian,JP,JP,1,2,modern,,4,1
85,51,male,asian,JP,JP,3,5,modern,,4,1
86,67,male,asian,JP,JP,1,3,modern,,1,1
87,67,male,asian,JP,JP,1,5,modern,,3,1
88,50,female,asian,JP,JP,12,9,modern,,5,2
89,69,female,asian,JP,JP,1,2,modern,,4,1
90,62,male,asian,JP,JP,8,5,modern,,2,1
