participant-id,age,gender,ethnicity,residence-country,longest-residence-country,income,education,attribute,work-time-seconds
0,32,Male,White,USA,USA,5,9,aggressive,144
1,39,Female,White,US,US,4,10,dynamic,149
2,33,Female,White,US,US,6,10,aerodynamic,179
3,47,Male,Chinese,US,CN,6,12,modern,240
4,25,Female,White,US,US,8,10,elegant,231
5,32,Male,White,USA,USA,8,8,sporty,211
6,38,Male,White,US,US,2,10,sleek,283
7,38,Male,White,US,US,4,10,sporty,202
8,33,Male,White,US,US,2,10,dynamic,294
9,30,Male,White,US,US,7,9,elegant,247
10,36,Male,White,US,US,3,10,dynamic,253
11,30,Male,White,US,US,7,9,sporty,254
12,34,Male,White,US,US,3,10,dynamic,253
13,27,Male,White,US,US,4,10,modern,304
14,64,Male,White,us,us,6,11,aerodynamic,214
15,63,Male,White,AS,AS,6,11,elegant,315
16,25,Female,White,US,US,6,10,sporty,332
17,30,Female,White,US,US,6,11,luxurious,353
18,30,Female,White,US,US,6,11,sporty,285
19,44,Female,White,US,US,4,10,stylish,274
20,32,Male,White,US,US,5,10,stylish,236
21,35,Female,White,US,US,4,8,stylish,357
22,29,Male,White,US,US,4,11,sophisticated,354
23,34,Male,White,US,US,3,10,aerodynamic,261
24,45,Male,White,US,US,8,12,modern,388
25,36,Female,White,US,US,7,10,modern,395
26,32,Female,Black,US,US,4,7,aerodynamic,315
27,31,Male,White,US,US,4,10,aggressive,222
28,44,Female,Black,US,US,5,12,luxurious,401
29,64,Female,White,us,us,6,11,sleek,204
30,30,Male,White,US,US,5,10,dynamic,470
31,53,Male,White,USA,USA,3,8,aggressive,392
32,34,Male,White,US,AS,4,10,stylish,423
33,30,Male,White,US,US,7,9,aerodynamic,411
34,29,Male,White,CO,Crested Butte,4,10,elegant,432
35,31,Male,White,USA,USA,5,10,aggressive,276
36,30,Female,White,US,US,6,11,elegant,447
37,33,Male,White,usa,AS,5,10,stylish,445
38,58,Male,White,US,US,4,7,aerodynamic,509
39,48,Male,White,US,US,4,10,sophisticated,458
40,27,Male,White,US,US,5,10,sporty,474
41,35,Male,White,US,US,6,11,dynamic,518
42,35,Male,Black,US,US,4,10,aerodynamic,251
43,40,Male,White,US,US,4,10,luxurious,476
44,25,Female,White,US,US,5,10,aggressive,519
45,36,Male,White,US,US,4,9,sleek,290
46,26,Female,Filipino,USA,USA,2,10,elegant,478
47,33,Male,White,US,US,2,10,aerodynamic,208
48,36,Male,American Indian or Alaska native,CA,CA,4,11,sporty,535
49,37,Male,White,US,US,5,6,aerodynamic,577
50,46,Male,White,US,US,6,11,sporty,466
51,27,Male,Black,US,US,7,5,dynamic,366
52,35,Female,White,US,US,6,11,sophisticated,443
53,30,Male,White,US,US,4,9,luxurious,612
54,38,Female,White,US,US,7,10,luxurious,579
55,35,Female,White,US,US,7,11,sophisticated,540
56,34,Male,White,US,US,2,6,aerodynamic,291
57,30,Female,White,US,US,6,11,sophisticated,459
58,37,Female,Black,US,US,4,10,luxurious,360
59,31,Female,White,NZ,NZ,5,10,aerodynamic,650
60,33,Male,White,US,AL,4,10,luxurious,428
61,33,Male,White,USA,USA,6,10,sleek,621
62,31,Male,White,United states,Us,7,7,elegant,427
63,50,Male,White,US,US,4,9,sophisticated,510
64,66,Female,White,US,US,3,9,aggressive,483
65,28,Female,White,AX,AX,4,10,sophisticated,375
66,32,Female,White,US,US,7,11,modern,625
67,33,Male,White,US,US,4,10,aggressive,221
68,38,Male,Black,US,US,4,10,luxurious,418
69,30,Female,White,US,US,6,11,aerodynamic,233
70,55,Male,White,US,US,6,10,sleek,497
71,45,Female,Korean,US,KR,8,12,sleek,696
72,52,Female,White,US,US,6,10,dynamic,730
73,54,Male,White,CA,CA,5,11,aerodynamic,682
74,30,Male,White,US,US,7,9,sporty,691
75,32,Female,White,US,US,4,11,aggressive,393
76,39,Male,Black,US,US,6,10,sleek,716
77,38,Female,White,US,US,6,11,stylish,632
78,31,Male,Chinese,US,US,5,10,elegant,271
79,33,Female,White,CALIFORNIA,AMERICA,5,10,aerodynamic,489
80,35,Male,White,US,US,5,10,sleek,625
81,30,Male,White,US,US,5,8,aerodynamic,349
82,36,Male,Black,US,US,5,10,aggressive,771
83,33,Male,White,US,US,4,10,sleek,393
84,30,Male,White,US,US,7,10,stylish,300
85,28,Female,White,US,US,5,10,aerodynamic,727
86,32,Male,White,US,US,4,8,aerodynamic,379
87,29,Male,White,AS,AS,3,10,aggressive,329
88,35,Male,Black,US,US,6,11,elegant,752
89,30,Female,White,US,US,7,11,aggressive,722
90,25,Female,White,US,US,4,10,sleek,845
91,59,Male,White,US,US,3,6,aerodynamic,313
92,37,Female,White,US,US,4,11,elegant,610
93,29,Female,White,US,US,6,11,dynamic,357
94,60,Female,White,US,US,6,10,elegant,747
95,33,Male,White,US,AD,5,10,aerodynamic,526
96,34,Female,Black,US,US,4,10,aerodynamic,814
97,29,Male,White,US,US,6,11,sporty,833
98,29,Female,White,US,US,7,11,elegant,299
99,24,Male,Black,US,US,6,10,luxurious,631
100,63,Female,White,US,US,3,8,sophisticated,548
101,22,Male,White,AX,AX,3,4,modern,254
102,27,Male,Black,US,US,7,5,aggressive,640
103,34,Male,White,US,US,7,10,sophisticated,433
104,25,Female,White,US,US,6,10,aerodynamic,882
105,25,Female,White,US,US,6,10,stylish,862
106,28,Male,Black,US,US,6,10,sporty,807
107,34,Male,White,US,US,3,10,sleek,796
108,43,Female,White,TX,Richardson,5,10,elegant,899
109,29,Male,Black,US,US,3,7,aerodynamic,479
110,40,Female,White,AS,AS,5,10,aggressive,322
111,24,Female,Asian Indian,IN,IN,1,10,elegant,913
112,29,Male,White,AS,AS,4,10,stylish,204
113,36,Female,White,US,US,5,11,luxurious,674
114,33,Male,White,USA,USA,6,10,stylish,890
115,41,Prefer not to answer,Prefer not to answer,US,US,9,14,sporty,584
116,24,Female,White,US,US,6,11,sleek,821
117,29,Female,White,US,US,5,10,elegant,928
118,40,Male,White,US,US,5,10,elegant,453
119,32,Female,White,US,US,4,11,elegant,562
120,25,Female,White,KM,CM,4,10,aerodynamic,730
121,32,Female,White,us,us,5,4,luxurious,915
122,43,Female,White,US,US,7,10,sophisticated,437
123,28,Female,Chinese,US,US,6,10,stylish,267
124,34,Female,White,CA,CA,5,10,sporty,909
125,30,Male,Chinese,US,US,6,10,luxurious,455
126,28,Female,White,US,US,7,10,elegant,687
127,44,Male,White,US,US,2,10,aerodynamic,919
128,28,Male,White,AX,AX,2,4,aerodynamic,121
129,30,Female,White,US,US,6,9,stylish,978
130,58,Female,White,US,US,4,10,dynamic,550
131,32,Male,White,United States,United States,1,9,luxurious,1033
132,38,Male,White,US,US,4,5,luxurious,438
133,57,Female,White,US,US,5,10,modern,727
134,25,Female,White,US,US,6,10,aerodynamic,1028
135,32,Female,White,US,AL,4,10,aggressive,345
136,35,Male,White,US,US,6,11,luxurious,979
137,43,Male,White,us,us,6,10,aerodynamic,952
138,69,Female,White,US,US,3,7,aggressive,597
139,33,Male,White,us,us,4,6,stylish,952
140,38,Female,White,US,US,7,10,stylish,951
141,37,Female,White,US,US,3,10,sleek,1044
142,31,Male,White,usa,usa,6,10,aerodynamic,240
143,25,Male,White,CM,TD,4,10,sporty,883
144,33,Female,White,US,US,3,11,aggressive,675
145,32,Female,White,US,US,2,11,luxurious,681
146,33,Male,White,usa,usa,8,12,sleek,1070
147,41,Male,Filipino,US,US,2,9,aggressive,1121
148,27,Male,White,US,US,4,11,sophisticated,444
149,34,Female,White,CALIFORNIA,CALIFORNIA,3,10,dynamic,1138
150,36,Male,White,MS,Amory,5,10,modern,1095
151,32,Female,White,US,US,6,4,elegant,1120
152,33,Male,White,AS,AS,3,10,sleek,1078
153,33,Male,White,US,US,2,10,dynamic,344
154,54,Male,Black,US,US,4,10,aggressive,512
155,30,Female,White,US,US,7,9,sleek,1102
156,25,Female,White,ca,ca,5,11,aerodynamic,950
157,54,Male,White,US,US,6,10,aerodynamic,379
158,35,Male,White,US,US,6,10,stylish,1206
159,30,Male,White,US,US,4,11,aggressive,371
160,32,Female,White,US,US,2,13,stylish,780
161,27,Male,White,US,US,6,11,elegant,1160
162,40,Female,White,US,US,5,10,aggressive,949
163,30,Male,American Indian or Alaska native,usa ,usa,6,10,sporty,1235
164,39,Male,White,us,us,6,10,stylish,1130
165,49,Male,White,US,US,6,11,modern,1124
166,57,Female,White,US,US,5,7,dynamic,440
167,20,Male,White,AX,AX,2,4,luxurious,333
168,40,Male,White,US,US,2,10,elegant,1080
169,36,Female,White,US,US,4,11,elegant,359
170,46,Female,White,Wichita,Wichita,6,10,luxurious,958
171,48,Male,White,US,US,3,10,stylish,1266
172,29,Female,White,US,US,8,11,sporty,317
173,34,Male,White,US,US,8,10,aerodynamic,403
174,42,Male,White,US,US,5,10,modern,1150
175,34,Male,White,US,US,5,10,dynamic,501
176,37,Female,American Indian or Alaska native,AS,AS,5,6,dynamic,271
177,56,Male,White,US,US,4,8,luxurious,918
178,34,Male,White,US,US,5,12,elegant,392
179,25,Female,White,AM,AM,6,10,aerodynamic,1285
180,30,Male,White,US,US,5,10,stylish,616
181,33,Male,White,US,US,1,13,aerodynamic,483
182,37,Male,White,US,US,6,11,sophisticated,1265
183,33,Male,White,US,US,2,10,modern,617
184,55,Female,White,US,US,5,10,sporty,758
185,38,Male,White,MS,Smithville,5,10,aggressive,1322
186,54,Male,White,US,US,4,8,sophisticated,1041
187,28,Male,American Indian or Alaska native,US,US,4,10,luxurious,695
188,30,Female,White,AS,AS,4,10,aerodynamic,1398
189,25,Female,White,AM,AM,7,10,sporty,1375
190,63,Male,White,US,US,3,9,aggressive,705
191,54,Male,White,NC,NC,4,10,modern,589
192,54,Male,White,CA,CA,6,11,stylish,1300
193,43,Male,White,us,us,6,10,sleek,1351
194,41,Male,White,US,US,4,6,aerodynamic,920
195,33,Male,White,AS,AS,5,10,modern,1315
196,35,Female,White,USA,USA,6,10,dynamic,1413
197,49,Male,Filipino,United States,United States,8,10,stylish,466
198,40,Male,White,GA,GA,4,10,sophisticated,589
199,35,Male,White,US,US,5,10,stylish,1221
200,34,Female,White,US,US,6,10,dynamic,1199
201,36,Male,White,US,US,4,8,dynamic,533
202,33,Male,White,CA,CA,5,7,aerodynamic,711
203,35,Female,White,US,US,4,10,dynamic,1318
204,30,Male,American Indian or Alaska native,TX,TX,2,10,sporty,819
205,53,Female,White,US,US,6,10,sleek,1382
206,30,Female,American Indian or Alaska native,ca,ca,2,10,elegant,949
207,30,Male,Black,us,us,6,10,sporty,1379
208,35,Male,White,US,US,7,11,aggressive,1378
209,56,Female,White,US,US,4,11,aerodynamic,1315
210,32,Male,White,usa,usa,4,10,sleek,524
211,29,Female,White,US,US,2,8,luxurious,409
212,38,Female,American Indian or Alaska native,AS,AS,5,5,sophisticated,401
213,24,Female,Asian Indian,IN,IN,1,10,modern,1442
214,62,Female,White,US,US,5,10,sophisticated,324
215,39,Female,White,US,US,5,10,aerodynamic,388
216,51,Male,Black,US,US,3,10,elegant,312
217,37,Female,Chinese,United States,United States,5,8,modern,262
218,38,Male,White,US,US,3,11,elegant,365
219,32,Male,White,US,US,5,10,sporty,283
220,50,Male,White,us,us,6,10,sophisticated,1470
221,34,Male,White,US,US,2,10,sophisticated,751
222,36,Female,American Indian or Alaska native,US,US,3,11,sophisticated,502
223,30,Male,White,US,US,4,11,sporty,700
224,45,Male,White,CA,US,4,6,luxurious,382
225,45,Male,White,us,us,5,7,aggressive,1418
226,48,Female,White,US,AF,2,11,dynamic,227
227,43,Female,White,US,US,4,10,elegant,694
228,35,Male,White,US,us,6,11,elegant,1490
229,33,Female,White,US,US,4,11,elegant,1155
230,35,Female,White,US,US,5,10,sophisticated,1515
231,30,Male,Black,us,us,6,10,sleek,1507
232,44,Male,White,US,US,4,10,luxurious,1526
233,31,Female,White,US,US,8,11,sleek,292
234,42,Male,White,US,US,5,10,luxurious,530
235,28,Male,White,US,CO,2,9,luxurious,1551
236,51,Female,White,US,US,4,10,elegant,1558
237,59,Female,White,US,US,2,11,sophisticated,681
238,49,Male,White,US,US,6,10,modern,568
239,26,Female,White,US,US,6,11,luxurious,1565
240,47,Male,Black,US,US,4,11,stylish,310
